object_type,table,object_name,source,action,complexity,dependency,notes
table,AgeGroup,AgeGroup,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
table,BU,BU,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
table,Date,Date,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
table,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,calculated_table
table,Employee,Employee,Tabular,LOOKML_VIEW_FACT,SIMPLE,,business
table,Ethnicity,Ethnicity,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
table,FP,FP,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
table,Gender,Gender,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
table,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,calculated_table
table,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,calculated_table
table,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,calculated_table
table,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,calculated_table
table,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,calculated_table
table,PayType,PayType,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
table,SeparationReason,SeparationReason,Tabular,LOOKML_VIEW_DIM,SIMPLE,,business
column,AgeGroup,AgeGroupID,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,AgeGroup,AgeGroup,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,BU,BU,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,BU,RegionSeq,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,BU,VP,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,Date,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,Month,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,MonthNumber,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,Period,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,PeriodNumber,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,Qtr,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,QtrNumber,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,Year,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,Day,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,MonthStartDate,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Date,MonthEndDate,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Date,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,schema column
column,Employee,date,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,EmplID,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,Gender,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,Age,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,EthnicGroup,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,FP,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,TermDate,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,BU,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,HireDate,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,PayTypeID,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Employee,TermReason,Tabular,LOOKML_VIEW_FACT,SIMPLE,,schema column
column,Ethnicity,Ethnic Group,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Ethnicity,Ethnicity,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,FP,FP,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,FP,FPDesc,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Gender,ID,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Gender,Gender,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,Gender,Sort,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Date,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,schema column
column,LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Date,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,schema column
column,LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Date,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,schema column
column,LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Date,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,schema column
column,LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Date,Tabular,SKIP_PBI_INTERNAL,SIMPLE,,schema column
column,PayType,PayTypeID,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,PayType,PayType,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,SeparationReason,SeparationTypeID,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
column,SeparationReason,SeparationReason,Tabular,LOOKML_VIEW_DIM,SIMPLE,,schema column
measure,Employee,EmpCount,DAX,LOOKML_MEASURE,MODERATE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Seps,DAX,LOOKML_MEASURE,MODERATE,,full DAX preserved in 02_dax_objects.json
measure,Employee,Actives,DAX,LOOKML_MEASURE,MODERATE,,full DAX preserved in 02_dax_objects.json
measure,Employee,New Hires,DAX,LOOKML_MEASURE,SIMPLE,,full DAX preserved in 02_dax_objects.json
