TableName,Name,Expression,DisplayFolder,Description
Employee,EmpCount,"CALCULATE(COUNT([EmplID]), FILTER(ALL('Date'[PeriodNumber]), 'Date'[PeriodNumber] = MAX('Date'[PeriodNumber])))",,
Employee,Seps,"CALCULATE(COUNT([EmplID]), FILTER(Employee, NOT(ISBLANK(Employee[TermDate]))))",,
Employee,Actives,"CALCULATE([EmpCount], FILTER(Employee, ISBLANK(Employee[TermDate])))",,
Employee,New Hires,SUM([isNewHire]),,
Employee,AVG Tenure Days,AVERAGE([TenureDays]),,
Employee,AVG Tenure Months,"ROUND([AVG Tenure Days]/30, 1)-1",,
Employee,AVG Age,"ROUND(AVERAGE([Age]), 0)",,
Employee,Sum of BadHires,SUM([BadHires]),,
Employee,New Hires SPLY,"CALCULATE([New Hires],SAMEPERIODLASTYEAR('Date'[Date]))",,
Employee,Actives SPLY,"CALCULATE([Actives],SAMEPERIODLASTYEAR('Date'[Date]))",,
Employee,Seps SPLY,"CALCULATE([Seps],SAMEPERIODLASTYEAR('Date'[Date]))",,
Employee,EmpCount SPLY,"CALCULATE(COUNT([EmplID]), FILTER(ALL('Date'[PeriodNumber]), 'Date'[PeriodNumber] = MAX('Date'[PeriodNumber])),SAMEPERIODLASTYEAR('Date'[Date]))",,
Employee,Seps YoY Var,[Seps]-[Seps SPLY],,
Employee,Actives YoY Var,[Actives]-[Actives SPLY],,
Employee,New Hires YoY Var,[New Hires]-[New Hires SPLY],,
Employee,Seps YoY % Change,"DIVIDE([Seps YoY Var], [Seps SPLY])",,
Employee,Actives YoY % Change,"DIVIDE([Actives YoY Var], [Actives SPLY])",,
Employee,New Hires YoY % Change,"DIVIDE([New Hires YoY Var], [New Hires SPLY])",,
Employee,Bad Hires SPLY,"CALCULATE([Sum of BadHires],SAMEPERIODLASTYEAR('Date'[Date]))",,
Employee,Bad Hires YoY Var,[Sum of BadHires]-[Bad Hires SPLY],,
Employee,Bad Hires YoY % Change,"DIVIDE([Bad Hires YoY Var], [Bad Hires SPLY])",,
Employee,TO %,"DIVIDE([Seps], [Actives])",,
Employee,TO % Norm,"CALCULATE([TO %], all(Gender[Gender]), ALL(Ethnicity[Ethnicity]))",,
Employee,TO % Var,[TO %]-[TO % Norm],,
Employee,Sep%ofActive,"DIVIDE([Seps],[Actives])",,
Employee,Sep%ofSMLYActives,"DIVIDE([Seps SPLY],[Actives SPLY])",,
Employee,BadHire%ofActives,"DIVIDE([Sum of BadHires],[Actives])",,
Employee,BadHire%ofActiveSPLY,"DIVIDE([Bad Hires SPLY],[Actives SPLY])",,
BU,Count of BU,COUNTA('BU'[BU]),,
Date,Count of Date,COUNTA('Date'[Date]),,
