TableName,ColumnName,PandasDataType
AgeGroup,AgeGroupID,Int64
AgeGroup,AgeGroup,string
BU,BU,string
BU,RegionSeq,string
BU,VP,string
BU,Region,string
Date,Date,datetime64[ns]
Date,Month,string
Date,MonthNumber,Int64
Date,Period,string
Date,PeriodNumber,Int64
Date,Qtr,Int64
Date,QtrNumber,string
Date,Year,Int64
Date,Day,Int64
Date,MonthStartDate,datetime64[ns]
Date,MonthEndDate,datetime64[ns]
Date,MonthIncrementNumber,Int64
DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Date,datetime64[ns]
DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Year,Int64
DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,MonthNo,Int64
DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Month,string
DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,QuarterNo,Int64
DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Quarter,string
DateTableTemplate_92fd358c-bb4c-4d52-9f5b-e9a59dc2315d,Day,Int64
Employee,date,datetime64[ns]
Employee,EmplID,Int64
Employee,Gender,string
Employee,Age,Int64
Employee,EthnicGroup,string
Employee,FP,string
Employee,TermDate,datetime64[ns]
Employee,isNewHire,Int64
Employee,BU,string
Employee,HireDate,datetime64[ns]
Employee,PayTypeID,string
Employee,TermReason,string
Employee,AgeGroupID,Int64
Employee,TenureDays,Float64
Employee,TenureMonths,Int64
Employee,BadHires,Float64
Ethnicity,Ethnic Group,string
Ethnicity,Ethnicity,string
FP,FP,string
FP,FPDesc,string
Gender,ID,string
Gender,Gender,string
Gender,Sort,Int64
LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Date,datetime64[ns]
LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Year,Int64
LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,MonthNo,Int64
LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Month,string
LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,QuarterNo,Int64
LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Quarter,string
LocalDateTable_6f19fed3-1fc0-4f7a-878d-34aca93d6782,Day,Int64
LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Date,datetime64[ns]
LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Year,Int64
LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,MonthNo,Int64
LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Month,string
LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,QuarterNo,Int64
LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Quarter,string
LocalDateTable_c04ce649-6e25-466f-9bbc-faabfec0fe29,Day,Int64
LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Date,datetime64[ns]
LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Year,Int64
LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,MonthNo,Int64
LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Month,string
LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,QuarterNo,Int64
LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Quarter,string
LocalDateTable_c9dde99e-7ac1-4e8e-a5f2-c5ffc41d9cac,Day,Int64
LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Date,datetime64[ns]
LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Year,Int64
LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,MonthNo,Int64
LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Month,string
LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,QuarterNo,Int64
LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Quarter,string
LocalDateTable_cc28ef26-f63a-4bc3-b357-93ab34cd6d9b,Day,Int64
LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Date,datetime64[ns]
LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Year,Int64
LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,MonthNo,Int64
LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Month,string
LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,QuarterNo,Int64
LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Quarter,string
LocalDateTable_d2ea5b26-668d-4c17-b228-695669b066a6,Day,Int64
PayType,PayTypeID,string
PayType,PayType,string
SeparationReason,SeparationTypeID,string
SeparationReason,SeparationReason,string
