date,EmplID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU,HireDate,PayTypeID,TermReason,AgeGroupID,TenureDays,TenureMonths,BadHires
2012-02-01,68346,D,21,1,P,,,9,2010-10-16,H,,1,473.0,15,0.0
2013-12-01,45108,D,21,1,P,,,9,2012-05-09,H,,1,571.0,19,0.0
2013-12-01,5582,D,21,1,P,,,9,2013-08-28,H,,1,95.0,3,0.0
2013-12-01,4708,D,21,1,P,,,9,2013-10-24,H,,1,38.0,1,0.0
2011-12-01,45486,D,21,1,P,,,9,2011-05-25,H,,1,190.0,6,0.0
2012-02-01,57602,D,21,1,P,,,9,2007-04-03,H,,1,1765.0,58,0.0
2013-07-01,38638,D,21,1,P,,,9,2012-03-30,H,,1,458.0,15,0.0
2011-01-01,90790,D,21,1,P,,,9,2008-05-16,H,,1,960.0,31,0.0
2013-06-01,38638,D,21,1,P,,,9,2012-03-30,H,,1,428.0,14,0.0
2014-10-01,67624,D,21,1,P,,,9,2014-06-14,H,,1,109.0,3,0.0
2013-07-01,45108,D,21,1,P,,,9,2012-05-09,H,,1,418.0,13,0.0
2011-02-01,90790,D,21,1,P,,,9,2008-05-16,H,,1,991.0,33,0.0
2012-02-01,116070,D,21,1,P,,,9,2010-06-30,H,,1,581.0,19,0.0
2013-07-01,114614,D,21,1,P,,,9,2013-05-18,H,,1,44.0,1,0.0
2014-01-01,5604,D,21,1,P,,,9,2013-08-30,H,,1,124.0,4,0.0
2014-05-01,87284,D,21,1,P,,,9,2012-10-11,H,,1,567.0,18,0.0
2014-02-01,4720,D,21,1,P,,1,9,2014-02-06,H,,1,5.0,0,0.0
2014-02-01,5604,D,21,1,P,,,9,2013-08-30,H,,1,155.0,5,0.0
2014-06-01,87284,D,21,1,P,,,9,2012-10-11,H,,1,598.0,19,0.0
2012-02-01,38704,D,21,1,P,,,9,2009-09-16,H,,1,868.0,28,0.0
