Date,Year,MonthNo,Month,QuarterNo,Quarter,Day
1959-01-01,1959,1,January,1,Qtr 1,1
1959-01-02,1959,1,January,1,Qtr 1,2
1959-01-03,1959,1,January,1,Qtr 1,3
1959-01-04,1959,1,January,1,Qtr 1,4
1959-01-05,1959,1,January,1,Qtr 1,5
1959-01-06,1959,1,January,1,Qtr 1,6
1959-01-07,1959,1,January,1,Qtr 1,7
1959-01-08,1959,1,January,1,Qtr 1,8
1959-01-09,1959,1,January,1,Qtr 1,9
1959-01-10,1959,1,January,1,Qtr 1,10
1959-01-11,1959,1,January,1,Qtr 1,11
1959-01-12,1959,1,January,1,Qtr 1,12
1959-01-13,1959,1,January,1,Qtr 1,13
1959-01-14,1959,1,January,1,Qtr 1,14
1959-01-15,1959,1,January,1,Qtr 1,15
1959-01-16,1959,1,January,1,Qtr 1,16
1959-01-17,1959,1,January,1,Qtr 1,17
1959-01-18,1959,1,January,1,Qtr 1,18
1959-01-19,1959,1,January,1,Qtr 1,19
1959-01-20,1959,1,January,1,Qtr 1,20
