Date,Year,MonthNo,Month,QuarterNo,Quarter,Day
2012-01-01,2012,1,January,1,Qtr 1,1
2012-01-02,2012,1,January,1,Qtr 1,2
2012-01-03,2012,1,January,1,Qtr 1,3
2012-01-04,2012,1,January,1,Qtr 1,4
2012-01-05,2012,1,January,1,Qtr 1,5
2012-01-06,2012,1,January,1,Qtr 1,6
2012-01-07,2012,1,January,1,Qtr 1,7
2012-01-08,2012,1,January,1,Qtr 1,8
2012-01-09,2012,1,January,1,Qtr 1,9
2012-01-10,2012,1,January,1,Qtr 1,10
2012-01-11,2012,1,January,1,Qtr 1,11
2012-01-12,2012,1,January,1,Qtr 1,12
2012-01-13,2012,1,January,1,Qtr 1,13
2012-01-14,2012,1,January,1,Qtr 1,14
2012-01-15,2012,1,January,1,Qtr 1,15
2012-01-16,2012,1,January,1,Qtr 1,16
2012-01-17,2012,1,January,1,Qtr 1,17
2012-01-18,2012,1,January,1,Qtr 1,18
2012-01-19,2012,1,January,1,Qtr 1,19
2012-01-20,2012,1,January,1,Qtr 1,20
