Date,Year,MonthNo,Month,QuarterNo,Quarter,Day
2010-01-01,2010,1,January,1,Qtr 1,1
2010-01-02,2010,1,January,1,Qtr 1,2
2010-01-03,2010,1,January,1,Qtr 1,3
2010-01-04,2010,1,January,1,Qtr 1,4
2010-01-05,2010,1,January,1,Qtr 1,5
2010-01-06,2010,1,January,1,Qtr 1,6
2010-01-07,2010,1,January,1,Qtr 1,7
2010-01-08,2010,1,January,1,Qtr 1,8
2010-01-09,2010,1,January,1,Qtr 1,9
2010-01-10,2010,1,January,1,Qtr 1,10
2010-01-11,2010,1,January,1,Qtr 1,11
2010-01-12,2010,1,January,1,Qtr 1,12
2010-01-13,2010,1,January,1,Qtr 1,13
2010-01-14,2010,1,January,1,Qtr 1,14
2010-01-15,2010,1,January,1,Qtr 1,15
2010-01-16,2010,1,January,1,Qtr 1,16
2010-01-17,2010,1,January,1,Qtr 1,17
2010-01-18,2010,1,January,1,Qtr 1,18
2010-01-19,2010,1,January,1,Qtr 1,19
2010-01-20,2010,1,January,1,Qtr 1,20
